period	cat	value	fcc	interval	fkt_id	fkt_date	fkt_pop	fkt_area	fkt_mines	fkt_fert	fkt_cattle	fkt_poors	prot_area	altitude	dist_patch	dist_fedge	dist_road	dist_town	fragindex	date_image	statut_tp1
1	312	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1060	1050	120	61920	4380	5	20010913	0
1	313	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	975	2130	120	60990	5700	5	20010913	0
1	314	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	956	870	450	60210	7260	5	20010913	0
1	315	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	853	1650	240	59730	9360	5	20010913	0
1	316	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	930	1530	120	58050	16410	5	20010913	0
1	317	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	165	150	30	57300	19560	3	20010913	0
1	318	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	89	420	30	56700	22110	2	20010913	0
1	319	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	91	210	60	55800	25950	4	20010913	0
1	320	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	67	150	30	54870	29850	1	20010913	0
1	321	1	111	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	146	240	90	54750	37380	5	20010913	0
1	322	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1139	1500	90	65400	3630	5	20010913	0
1	323	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	869	210	150	63480	2820	5	20010913	0
1	324	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	975	2100	150	60990	5670	5	20010913	0
1	325	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	855	1470	90	59760	9120	3	20010913	0
1	326	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	977	960	300	59340	10800	5	20010913	0
1	327	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	744	210	210	58500	14400	5	20010913	0
1	328	1	133	3.613963	214312007	2007	760	124.834	1	0	1810	5	0	196	0	60	54930	38370	3	20010913	1
1	329	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1103	1380	150	65310	3540	5	20010913	0
1	330	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	97	150	120	55500	27030	5	20010913	0
1	331	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	161	270	120	55170	28410	5	20010913	0
1	332	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1040	1500	690	67260	6300	5	20010913	0
1	333	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	972	1290	750	67020	5910	5	20010913	0
1	334	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1002	1380	240	66300	4890	5	20010913	0
1	335	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	999	1560	300	60450	6390	5	20010913	0
1	336	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	826	1590	120	59460	9990	5	20010913	0
1	337	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	744	270	270	58440	14370	5	20010913	0
1	338	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	881	1020	450	58200	15390	5	20010913	0
1	339	1	133	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	148	0	30	57150	19890	1	20010913	1
1	340	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1063	930	90	64950	3210	3	20010913	0
1	341	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	939	1230	660	60210	6810	5	20010913	0
1	342	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	921	1200	660	60180	6870	5	20010913	0
1	343	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	862	840	180	60030	7560	5	20010913	0
1	344	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	830	840	210	59910	8010	5	20010913	0
1	345	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	759	330	390	58380	14520	5	20010913	0
1	346	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	823	930	390	58200	15300	5	20010913	0
1	347	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	964	1230	420	58110	15660	5	20010913	0
1	348	1	133	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	137	0	60	53910	33420	3	20010913	1
1	349	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	197	30	210	53910	34380	5	20010913	0
1	350	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1035	1170	180	65100	3330	5	20010913	0
1	351	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1063	900	120	64950	3180	5	20010913	0
1	352	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	712	210	300	58890	12270	5	20010913	0
1	353	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	764	750	330	58590	13500	5	20010913	0
1	354	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	764	720	300	58560	13560	5	20010913	0
1	355	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	726	1380	30	57780	16920	3	20010913	0
1	356	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	208	300	90	56370	22860	4	20010913	0
1	357	1	133	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	88	0	30	54480	30900	3	20010913	1
1	358	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1037	1530	90	66150	4740	3	20010913	0
1	359	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1011	630	120	62070	3900	5	20010913	0
1	360	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	208	300	120	56340	22860	5	20010913	0
1	361	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	117	330	30	54930	28890	1	20010913	0
1	362	1	113	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	152	330	90	54480	37050	5	20010913	0
1	363	1	111	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	175	390	150	54570	37440	5	20010913	0
1	364	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1108	1470	60	67560	6960	3	20010913	0
1	365	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1087	1260	60	65100	3330	3	20010913	0
1	366	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	842	270	120	63360	2640	5	20010913	0
1	367	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	872	1650	270	59550	9150	5	20010913	0
1	368	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	932	1860	540	61170	5040	5	20010913	0
1	369	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	842	1590	360	59280	10110	5	20010913	0
1	370	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1011	1680	660	67140	6330	5	20010913	0
1	371	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1139	1830	120	65550	3930	5	20010913	0
1	372	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	921	1020	360	59130	10650	5	20010913	0
1	373	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	970	1230	270	57930	15780	5	20010913	0
1	374	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	846	90	60	64350	2610	3	20010913	0
1	375	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1005	930	270	61800	4050	5	20010913	0
1	376	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	865	1140	510	59940	7140	5	20010913	0
1	377	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	869	1380	540	59190	10290	5	20010913	0
1	378	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	695	300	180	58740	12120	5	20010913	0
1	379	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	816	810	450	58380	13650	5	20010913	0
1	380	1	113	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	144	30	30	56970	19650	2	20010913	0
1	381	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	245	90	60	56190	22980	3	20010913	0
1	382	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1157	1230	30	67680	7290	3	20010913	0
1	383	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1035	1410	780	66480	5280	5	20010913	0
1	384	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1153	1860	210	65580	3990	5	20010913	0
1	385	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1048	1140	30	64950	3180	3	20010913	0
1	386	1	133	3.613963	222011001	2008	1076	88.321	0	0	7500	49	0	876	0	30	62490	3120	3	20010913	1
1	387	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1022	990	270	61740	4080	5	20010913	0
1	388	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	759	1170	150	57630	16680	5	20010913	0
1	389	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	727	240	90	57300	18090	4	20010913	0
1	390	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	123	90	120	57000	19440	5	20010913	0
1	391	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1210	870	60	68730	9090	3	20010913	0
1	392	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1160	990	270	68610	8880	5	20010913	0
1	393	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1003	1680	810	66990	6180	5	20010913	0
1	394	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1018	1590	990	66870	5940	5	20010913	0
1	395	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1034	1470	330	66180	4830	5	20010913	0
1	396	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1060	1230	360	61590	4260	5	20010913	0
1	397	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	938	1500	600	60060	6600	5	20010913	0
1	398	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	883	1380	630	59970	6780	5	20010913	0
1	399	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	861	1260	510	59880	7020	5	20010913	0
1	400	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	986	1230	30	57780	16020	3	20010913	0
1	401	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	839	540	120	57360	17790	5	20010913	0
1	402	1	111	3.613963	214312007	2007	760	124.834	1	0	1810	5	0	55	120	60	55140	40500	3	20010913	0
1	403	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1128	960	150	67890	7710	5	20010913	0
1	404	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1075	1470	210	66060	4710	5	20010913	0
1	405	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	849	210	120	62310	3150	5	20010913	0
1	406	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	878	1620	360	60930	5070	5	20010913	0
1	407	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	849	1170	360	59760	7380	5	20010913	0
1	408	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	663	1170	270	57450	17160	5	20010913	0
1	409	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1123	990	120	67860	7710	5	20010913	0
1	410	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	915	1740	30	60450	5790	3	20010913	0
1	411	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	899	1830	210	59190	9630	5	20010913	0
1	412	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	986	810	210	64620	2880	5	20010913	0
1	413	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	991	510	30	64440	2700	3	20010913	0
1	414	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	902	1590	330	60930	4950	5	20010913	0
1	415	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	823	1200	330	59670	7410	5	20010913	0
1	416	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	775	480	300	58530	12210	5	20010913	0
1	417	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	134	180	60	53730	32580	4	20010913	0
1	418	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1031	1890	480	67140	6570	5	20010913	0
1	419	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	841	600	90	62730	2580	5	20010913	0
1	420	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	863	1140	660	58950	10380	5	20010913	0
1	421	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	1041	690	180	58800	10950	5	20010913	0
1	422	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	107	270	30	54480	29310	2	20010913	0
1	423	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1100	1710	270	65400	3870	5	20010913	0
1	424	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1161	1590	90	65280	3720	5	20010913	0
1	425	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1161	1590	60	65280	3690	4	20010913	0
1	426	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1026	1080	120	61590	3930	5	20010913	0
1	427	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	938	1020	210	57570	16110	5	20010913	0
1	428	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	692	990	60	57390	16830	3	20010913	0
1	429	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1164	1080	240	68310	8670	5	20010913	0
1	430	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	909	660	180	61920	3420	5	20010913	0
1	431	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	912	1530	240	60900	4890	5	20010913	0
1	432	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	904	1590	60	60420	5700	3	20010913	0
1	433	1	111	3.613963	222011003	2007	854	61.323	0	0	7500	49	1	816	1260	60	59490	7830	4	20010913	0
1	434	1	111	3.613963	222011003	2007	854	61.323	0	0	7500	49	1	881	1320	240	59430	8100	5	20010913	0
1	435	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	956	1560	150	61020	4620	5	20010913	0
1	436	1	111	3.613963	222011003	2007	854	61.323	0	0	7500	49	1	935	1500	270	59310	8430	5	20010913	0
1	437	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	981	810	390	58770	10710	5	20010913	0
1	438	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	924	1020	270	57540	15960	5	20010913	0
1	439	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	841	900	210	57450	16320	5	20010913	0
1	440	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	117	360	210	54840	27330	5	20010913	0
1	441	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1057	1290	270	65700	4350	5	20010913	0
1	442	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	884	1800	30	59010	9570	3	20010913	0
